Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_22_272.jpg;0;0;0;0;99.66999;85.58901;0.0002348082;51.15964;-1.815662E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_22_338.jpg;0;0;0;0;99.66999;85.58901;0.000234365;51.15964;-1.593652E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_22_406.jpg;0;0;0;0;99.66999;85.58901;0.0002333005;51.15964;-1.291703E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_22_472.jpg;0;0;0;0;99.66999;85.58901;0.0002326976;51.15964;-1.024401E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_22_540.jpg;0;0;0;0;99.66999;85.58901;0.0002320237;51.15964;-7.369686E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_22_605.jpg;0;0;0;0;99.66999;85.58901;0.0002315986;51.15964;-4.237927E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_22_673.jpg;0;0;0;0;99.66999;85.58901;0.0002314992;51.15964;-4.255124E-07
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_22_742.jpg;0;0;0;0;99.66999;85.58901;0.0002312808;51.15964;1.4778E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_22_806.jpg;0;0;0.2042856;-0.0105043;99.67039;85.58951;0.01390229;51.15946;7.809862E-06
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_22_870.jpg;0;0;0.4010103;0;99.67039;85.58952;0.01270066;51.15947;1.355407E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_22_921.jpg;0;0;0.5920415;0;99.6704;85.58952;0.01181526;51.15947;1.717678E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_22_986.jpg;0;0;0.7386482;0;99.67041;85.58952;0.009884387;51.15948;2.366157E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_23_054.jpg;0;0;0.9424446;0;99.67042;85.58952;0.008339873;51.15948;2.717172E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_23_106.jpg;0;0;1;0;99.67043;85.58952;0.006751928;51.15948;2.996837E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_23_155.jpg;0;0;1;0;99.67043;85.58952;0.005685767;51.15948;3.147852E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_23_205.jpg;0;0;1;0;99.67043;85.58952;0.004098524;51.15949;3.29373E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_23_273.jpg;0;0;1;0;99.67044;85.58953;0.002552813;51.15949;3.342307E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_23_338.jpg;0;0;1;0;99.67044;85.58953;0.001074653;51.15949;3.328169E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_23_405.jpg;0;0;1;0;99.67045;85.58953;-0.0003122761;51.15949;3.243106E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_23_472.jpg;0;0;1;0;99.67046;85.58955;-0.001985395;51.1595;3.128259E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_23_538.jpg;0;0;1;0;99.67048;85.58955;-0.003087816;51.1595;2.940151E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_23_602.jpg;0;0;1;0;99.67046;85.58956;-0.00404671;51.1595;2.708616E-05
/home/ahmed/Image processing project/code/Project from scratch/IMG/robocam_2022_12_07_15_27_23_670.jpg;0;0;1;0;99.67046;85.58955;-0.005087725;51.15949;2.371233E-05
